Komponen,Migas,Non Migas,Jumlah
January-1993,864.3,2137.6,3001.9
February-1993,767.5,2125,2892.5
March-1993,892.2,2116.3,3008.5
April-1993,744,2213.5,2957.5
May-1993,888.3,2229.7,3118
June-1993,825.9,2155.3,2981.2
July-1993,847.3,2178.4,3025.7
August-1993,828.7,2299.7,3128.4
September-1993,775.3,2308.8,3084.1
October-1993,807.1,2411.3,3218.4
November-1993,747.9,2464.2,3212.1
December-1993,757.4,2437.3,3194.7
January-1994,763.3,1903.2,2666.5
February-1994,706.6,2093,2799.6
March-1994,751.8,2280.5,3032.3
April-1994,723,2410.8,3133.8
May-1994,756.5,2453.3,3209.8
June-1994,842.6,2725.2,3567.8
July-1994,822.8,2692.1,3514.9
August-1994,856.5,2735.7,3592.2
September-1994,754.6,2726.6,3481.2
October-1994,829,2817.3,3646.3
November-1994,878.6,2762.3,3640.9
December-1994,1008.3,2759.7,3768
January-1995,891.6,2367.3,3258.9
February-1995,817.2,2614.4,3431.6
March-1995,883.6,2600.9,3484.5
April-1995,881,2533.3,3414.3
May-1995,935.5,2886,3821.5
June-1995,858.4,2975.7,3834.1
July-1995,825.1,2949.8,3774.9
August-1995,862.9,3090.4,3953.3
September-1995,815.2,3125.2,3940.4
October-1995,791.8,3108.7,3900.5
November-1995,873.1,3206.8,4079.9
December-1995,1029.1,3495.2,4524.3
January-1996,933.1,2667.9,3601
February-1996,868,2817.1,3685.1
March-1996,977.5,2977.3,3954.8
April-1996,939.4,3090.4,4029.8
May-1996,871,3204.5,4075.5
June-1996,837.7,3298.3,4136
July-1996,911.1,3157.9,4069
August-1996,972.1,3349.3,4321.4
September-1996,947.8,3383.2,4331
October-1996,1135.5,3336.9,4472.4
November-1996,1099.1,3357.1,4456.2
December-1996,1229.7,3452.8,4682.5
January-1997,1222.8,3020.2,4243
February-1997,1060.2,3017.8,4078
March-1997,970.5,3113.2,4083.7
April-1997,973.6,3207.3,4180.9
May-1997,932,3625.8,4557.8
June-1997,838.7,3527.9,4366.6
July-1997,887,3698.2,4585.2
August-1997,876.6,3823.2,4699.8
September-1997,916.9,3790.5,4707.4
October-1997,993.5,3564.4,4557.9
November-1997,947.7,3731.3,4679
December-1997,1003.1,3701.2,4704.3
January-1998,804.5,3344.5,4149
February-1998,754.2,3058,3812.2
March-1998,715.1,3839.6,4554.7
April-1998,514,3138.1,3652.1
May-1998,647.9,3271.9,3919.8
June-1998,619.5,3861.9,4481.4
July-1998,642.6,3936.3,4578.9
August-1998,609.6,3482.2,4091.8
September-1998,623.8,3385.6,4009.4
October-1998,658.6,3168,3826.6
November-1998,614.8,3250.6,3865.4
December-1998,667.5,3238.8,3906.3
January-1999,644.3,2373.5,3017.8
February-1999,579.1,2615.9,3195
March-1999,645.9,3307.1,3953
April-1999,648,3238.1,3886.1
May-1999,683.1,3358.2,4041.3
June-1999,556.8,3038.2,3595
July-1999,866,3367.8,4233.8
August-1999,1014.2,3609.7,4623.9
September-1999,959.2,3577.9,4537.1
October-1999,1059.1,3579.1,4638.2
November-1999,988.6,3468.5,4457.1
December-1999,1148,3339.2,4487.2
January-2000,1144.6,3249.4,4394
February-2000,1100.4,3693.4,4793.8
March-2000,1104,3847.5,4951.5
April-2000,987.6,4024.4,5012
May-2000,1004.6,3853.4,4858
June-2000,1185.8,4160.4,5346.2
July-2000,1157.5,4233.5,5391
August-2000,1310.8,4265.2,5576
September-2000,1339.5,4433.4,5772.9
October-2000,1399.1,4164.2,5563.3
November-2000,1320.3,3919,5239.3
December-2000,1312.4,3913.6,5226
January-2001,1215.1,3675.3,4890.3
February-2001,1106.1,3632.4,4738.5
March-2001,1359.4,3863.3,5222.7
April-2001,1061,3742.4,4803.3
May-2001,1150.1,3700.5,4850.6
June-2001,1088.3,3758.4,4846.7
July-2001,1083.5,3782.2,4865.7
August-2001,1010.5,4113.3,5123.8
September-2001,967.6,3382.5,4350.1
October-2001,895.1,3624.4,4519.5
November-2001,818.8,3075.9,3894.7
December-2001,866.2,3351,4217.2
January-2002,865.3,3222.3,4087.6
February-2002,812.3,3384.7,4197
March-2002,1012.3,3523.5,4535.8
April-2002,1019.7,3747.8,4767.5
May-2002,989.9,3735.2,4725.1
June-2002,967.4,4127.6,5095
July-2002,959.8,4041.9,5001.7
August-2002,1016.5,3911.1,4927.6
September-2002,1072.8,4069.5,5142.3
October-2002,1145.5,4182.9,5328.4
November-2002,1097.2,3340,4437.2
December-2002,1177.2,3683.4,4860.6
January-2003,1197.5,3799.9,4997.4
February-2003,1259.6,3721.3,4980.9
March-2003,1296.3,3865.6,5161.9
April-2003,1125.9,3931.2,5057.1
May-2003,1004.4,3956.2,4960.6
June-2003,1093.3,4202,5295.3
July-2003,999.1,4272,5271.1
August-2003,1254.5,3769.2,5023.7
September-2003,1160.6,3896.3,5056.9
October-2003,1026,4045.2,5071.2
November-2003,1059.1,3873.9,4933
December-2003,1167.4,4058,5225.4
January-2004,1200.5,3842.6,5043.1
February-2004,1141.2,3766.5,4907.7
March-2004,1198.6,3888.3,5086.9
April-2004,1181.7,4093.6,5275.3
May-2004,1358.8,4231.9,5590.7
June-2004,1352.1,4578.8,5930.9
July-2004,1254.7,4713.5,5968.2
August-2004,1325.5,5065.6,6391.1
September-2004,1473.7,5766.3,7240
October-2004,1426.3,5978.3,7404.6
November-2004,1392,4727.8,6119.8
December-2004,1340.2,5286.1,6626.3
January-2005,1224.6,4907.7,6132.3
February-2005,1342,5039.6,6381.6
March-2005,1774.7,5590,7364.7
April-2005,1569.1,5221.6,6790.7
May-2005,1403.6,5781.7,7185.3
June-2005,1516.7,5377.4,6894.1
July-2005,1624.7,5529.2,7153.9
August-2005,1797.8,5477,7274.8
September-2005,1719.8,5802.1,7521.9
October-2005,1819.7,6131.8,7951.5
November-2005,1613.8,5271.7,6885.5
December-2005,1825,6298.6,8123.6
January-2006,1824.8,5733.8,7558.6
February-2006,1637.3,5760.3,7397.6
March-2006,1687.5,5808.4,7495.9
April-2006,1692,5949.3,7641.3
May-2006,1789.3,6580.4,8369.7
June-2006,1782.9,6671.2,8454.1
July-2006,2099,6781.8,8880.8
August-2006,1852.4,7058.8,8911.2
September-2006,1601.1,7242.8,8843.9
October-2006,1597.5,7119.6,8717.1
November-2006,1750.4,7167.7,8918.1
December-2006,1895.2,7715.1,9610.3
January-2007,1521.1,6801.3,8322.4
February-2007,1468.5,6726.1,8194.6
March-2007,1574.7,7490.2,9064.9
April-2007,1536.6,7376.5,8913.1
May-2007,1792,8015.8,9807.8
June-2007,1826.8,7730.4,9557.2
July-2007,1826.4,8213.3,10039.7
August-2007,1855.3,7740.3,9595.6
September-2007,2078.2,7437.5,9515.7
October-2007,1985,8319,10304
November-2007,2107,7737,9844
December-2007,2517,8425,10942
January-2008,2243.9,8947.7,11191.6
February-2008,2381.1,8164.4,10545.5
March-2008,2767.2,9241.7,12008.9
April-2008,2481.2,8440.5,10921.7
May-2008,3225.5,9684.8,12910.3
June-2008,2995,9823.5,12818.5
July-2008,2882.5,9645.3,12527.8
August-2008,2956.3,9510.5,12466.8
September-2008,2455.5,9821.7,12277.2
October-2008,1885.5,8904.4,10789.9
November-2008,1445.5,8220.2,9665.7
December-2008,1407,7489.5,8896.5
January-2009,1025.5,6254.6,7280.1
February-2009,1024.5,6109.9,7134.3
March-2009,1281.6,7333.1,8614.7
April-2009,1253.9,7200,8454
May-2009,1136.7,8072.1,9208.8
June-2009,1452.1,7929.4,9381.5
July-2009,1488.9,8195.2,9684.1
August-2009,1653.6,8890.1,10543.8
September-2009,1749.7,8092.9,9842.6
October-2009,2111.5,10131.2,12242.7
November-2009,2337.4,8438,10775.4
December-2009,2502.9,10845.2,13348.1
January-2010,2344.9,9251,11595.9
February-2010,2175.3,8991.2,11166.5
March-2010,2168.6,10605.8,12774.4
April-2010,2204.6,9830.6,12035.2
May-2010,2369.3,10249.9,12619.1
June-2010,1901.5,10428.6,12330.1
July-2010,1881.4,10605.5,12487
August-2010,1993.5,11733,13726.5
September-2010,2082.9,10098.7,12181.6
October-2010,2841.9,11557.8,14399.6
November-2010,2816.4,12816.9,15633.3
December-2010,3259.3,13570.6,16829.9
January-2011,2615,11991.2,14606.2
February-2011,2612.5,11802.8,14415.3
March-2011,3061.8,13304.1,16366
April-2011,3628.3,12925.9,16554.2
May-2011,4072.8,14214.6,18287.4
June-2011,3591,14795.9,18386.9
July-2011,3802.5,13616,17418.5
August-2011,4091.6,14556.2,18647.8
September-2011,3931,13612.4,17543.4
October-2011,3062.7,13895.1,16957.7
November-2011,3522.8,13712.7,17235.5
December-2011,3485,13592.7,17077.7
January-2012,3142.6,12425.4,15568.1
February-2012,3355.5,12340,15695.4
March-2012,3486.1,13765.4,17251.5
April-2012,3560.7,12612.5,16173.2
May-2012,3724.9,13104.7,16829.5
June-2012,2899.7,12541.8,15441.5
July-2012,2919.7,13165.4,16085.1
August-2012,2783,11264,14047
September-2012,2770.5,13127.6,15898.1
October-2012,2650.6,12669.4,15320
November-2012,2717.1,13599.9,16316.9
December-2012,2966.9,12427,15393.9
January-2013,2653.7,12721.8,15375.5
February-2013,2567.6,12448.1,15015.6
March-2013,2928.3,12096.3,15024.6
April-2013,2452.1,12308.8,14760.9
May-2013,2926.2,13207.1,16133.4
June-2013,2800.4,11958.5,14758.8
July-2013,2282.6,12805.3,15087.9
August-2013,2720.5,10363.2,13083.7
September-2013,2414.7,12292.1,14706.8
October-2013,2715.2,12983.1,15698.3
November-2013,2766.8,13171.7,15938.6
December-2013,3405.1,13562.7,16967.8
January-2014,2501.7,11970.6,14472.3
February-2014,2729.1,11904.9,14634.1
March-2014,2641.3,12551.3,15192.6
April-2014,2651.4,11641.1,14292.5
May-2014,2375.7,12447.9,14823.6
June-2014,2786,12623.5,15409.5
July-2014,2496.3,11627.8,14124.1
August-2014,2598.2,11883.5,14481.6
September-2014,2622.6,12653.2,15275.8
October-2014,2413.2,12879.6,15292.8
November-2014,2035.4,11509.3,13544.7
December-2014,2168,12268.4,14436.3
January-2015,1959,11285.9,13244.9
February-2015,1753.4,10419.4,12172.8
March-2015,1988.9,11645.2,13634
April-2015,1458.2,11646.4,13104.6
May-2015,1392.7,11361.9,12754.7
June-2015,1439.9,12074.2,13514.1
July-2015,1421.8,10043.9,11465.8
August-2015,1530.9,11195.2,12726
September-2015,1453.6,11134.8,12588.4
October-2015,1379.6,10742.2,12121.7
November-2015,1497,9625.1,11122.2
December-2015,1299.5,10617.6,11917.1
January-2016,1108,9473.9,10581.9
February-2016,1113.3,10203.4,11316.7
March-2016,1239.3,10572.8,11812.1
April-2016,891.7,10798,11689.7
May-2016,958,10559.5,11517.4
June-2016,1187.4,12018.8,13206.1
July-2016,998.6,8650.9,9649.5
August-2016,1138.6,11563.1,12701.7
September-2016,1061.5,11518.3,12579.8
October-2016,1055.9,11687.9,12743.7
November-2016,1103,12399.9,13502.9
December-2016,1250.2,12582.2,13832.4
January-2017,1278.6,12119.1,13397.7
February-2017,1208.6,11407.3,12616
March-2017,1516.2,13202.2,14718.5
April-2017,1036.2,12233.5,13269.7
May-2017,1294.4,13039.5,14333.9
June-2017,1276.3,10385.1,11661.4
July-2017,1165,12446.1,13611.1
August-2017,1233.6,13954.4,15188
September-2017,1455,13125.2,14580.2
October-2017,1488.2,13764.4,15252.6
November-2017,1295.8,14039,15334.7
December-2017,1496.5,13368.1,14864.5
January-2018,1342.7,13233.6,14576.3
February-2018,1388.8,12743.6,14132.4
March-2018,1256.1,14254.5,15510.6
April-2018,1178.8,13317.4,14496.2
May-2018,1633.1,14565.2,16198.3
June-2018,1646.7,11295,12941.7
July-2018,1416.5,14868.2,16284.7
August-2018,1423.7,14441.4,15865.1
September-2018,1320.2,13636.1,14956.3
October-2018,1545.3,14363.8,15909.1
November-2018,1312.9,13538.8,14851.7
December-2018,1706.8,12583.3,14290.1
January-2019,1131.3,12896.8,14028.1
February-2019,1050.8,11737.8,12788.6
March-2019,1077.4,13370.4,14447.8
April-2019,688.1,12380,13068.1
May-2019,1054.2,13697.6,14751.8
June-2019,714.1,11049.2,11763.3
July-2019,1400.5,13837.9,15238.4
August-2019,842.9,13419.1,14262
September-2019,803,13277.1,14080.1
October-2019,860,14021.5,14881.5
November-2019,1033.7,12910.8,13944.5
December-2019,1133.3,13295.5,14428.8
January-2020,815.3,12821.1,13636.4
February-2020,805.2,13236.9,14042.1
March-2020,617.4,13413.9,14031.3
April-2020,562.1,11597.7,12159.8
May-2020,560.9,9891.7,10452.6
June-2020,567.4,11439.4,12006.8
July-2020,660.4,13029.5,13689.9
August-2020,599.6,12455.7,13055.3
September-2020,667.3,13288.9,13956.2
October-2020,614.5,13748.9,14363.4
November-2020,762.2,14496.2,15258.4
December-2020,1018.8,15520.8,16539.6
January-2021,883.8,14416.4,15300.2
February-2021,860.6,14394.8,15255.4
March-2021,951.5,17446.9,18398.4
April-2021,941.7,17532.4,18474.1
May-2021,940.6,15967.4,16908
June-2021,1239.3,17308.5,18547.8
July-2021,978.8,18390.8,19369.6
August-2021,1044.6,20398.6,21443.2
September-2021,934.8,19684,20618.8
October-2021,1064.3,21026.7,22091
November-2021,1339.5,21505.9,22845.4
December-2021,1068,21289.7,22357.7
January-2022,901.2,18272.5,19173.7
February-2022,994.8,19478.1,20472.9
March-2022,1405.1,25092.4,26497.5
April-2022,1433.3,25889,27322.3
May-2022,1496.1,20013.7,21509.8
June-2022,1549.3,24600.8,26150.1
July-2022,1367.9,24195.3,25563.2
August-2022,1686.5,26175.6,27862.1
September-2022,1310.5,23466.7,24777.2
October-2022,1288.1,23440.3,24728.4
November-2022,1114.1,22979.9,24094
December-2022,1472.8,22355,23827.9
January-2023,1487.9,20835.9,22323.8
February-2023,1186.5,20134.8,21321.3
March-2023,1338.2,22077.8,23416
April-2023,1258.7,18025.4,19284.1
May-2023,-,-,-
June-2023,-,-,-
July-2023,-,-,-
August-2023,-,-,-
September-2023,-,-,-
October-2023,-,-,-
November-2023,-,-,-
December-2023,-,-,-